Unnamed: 0,_STATE,NAME,population,total_pop,total_asthma_burden,PR,at_risk,num,IR,year
15,18,Indiana,1598429,,,,,19190.951893714904,,2011
16,19,Iowa,726285,,,,,,,2011
17,20,Kansas,726556,,,,,4431.677121022422,,2011
18,21,Kentucky,1021795,,,,,,,2011
19,22,Louisiana,1116157,,,,,,,2011
20,23,Maine,269110,,,,,,,2011
21,24,Maryland,1349598,,,,,5256.206983373009,,2011
22,25,Massachusetts,1410035,,,,,,,2011
23,26,Michigan,2301756,2259612.1190685485,225354.3847050084,0.0997314462970323,2034257.73436354,25117.537763619563,0.0123472740643053,2011
24,27,Minnesota,1280876,,,,,,,2011
25,28,Mississippi,747651,,,,,6634.299908382975,,2011
26,29,Missouri,1413950,,,,,,,2011
27,30,Montana,223103,222313.72351564027,15011.625339892084,0.0675245104193308,207302.0981757482,1667.1385626283316,0.0080420727879702,2011
28,31,Nebraska,460842,,,,,4225.8243089439975,,2011
29,32,Nevada,657704,,,,,,,2011
30,33,New Hampshire,281230,,,,,,,2011
31,34,New Jersey,2047425,2007220.9856822724,173852.22701744136,0.0866133964608522,1833368.758664831,14931.465812519806,0.0081442785265926,2011
32,35,New Mexico,517281,517697.97847354336,51930.79412294797,0.1003109849415837,465767.1843505954,5503.400731881625,0.0118157760288648,2011
33,36,New York,4296117,,,,,,,2011
34,37,North Carolina,2281534,,,,,,,2011
35,38,North Dakota,152743,,,,,,,2011
36,39,Ohio,2694339,,,,,30844.50044054507,,2011
37,40,Oklahoma,936208,,,,,10127.833248137827,,2011
38,41,Oregon,864686,862018.9356175648,81148.11159007555,0.0941372726713244,780870.8240274893,,,2011
39,42,Pennsylvania,2763802,2732986.575346194,272748.2890193783,0.0997986201175644,2460238.286326816,23934.48061237157,0.0097285213165697,2011
40,44,Rhode Island,220535,,,,,,,2011
41,45,South Carolina,1075796,,,,,,,2011
42,46,South Dakota,204035,,,,,,,2011
43,47,Tennessee,1491444,1387543.6571510723,132282.81041184714,0.0953359627497792,1255260.846739225,,,2011
44,48,Texas,6933560,6964058.058014122,556772.8396437429,0.0799494827592682,6407285.218370379,53761.54704639082,0.0083906904740639,2011
45,49,Utah,881976,849132.7531119494,57225.74813458002,0.0673931701784625,791907.0049773694,9297.337329600194,0.0117404408234346,2011
46,50,Vermont,126988,125413.28199286372,9971.315097351222,0.0795076481446248,115441.96689551252,1136.296242743785,0.009843008338313,2011
47,51,Virginia,1857136,,,,,,,2011
48,53,Washington,1586246,1580699.9875954343,111619.18045072292,0.0706137668922983,1469080.8071447115,7106.07323246763,0.0048370880607166,2011
49,54,West Virginia,385564,382863.77081819234,29208.116555024717,0.076288535978753,353655.65426316764,,,2011
50,55,Wisconsin,1326325,1290980.3893745136,98409.25538886603,0.0762283115985563,1192571.1339856477,,,2011
51,56,Wyoming,135369,,,,,,,2011
0,0,United States,73695910,,,0.0898084261066216,,,0.0094722236741568,2012
1,1,Alabama,1116695,1109723.234637818,124320.5932551482,0.1120284674364981,985402.64138267,,,2012
2,2,Alaska,188399,,,,,,,2012
3,4,Arizona,1616728,1625350.0939349483,137922.74708216847,0.0848572548134904,1487427.34685278,,,2012
4,5,Arkansas,711139,,,,,,,2012
5,6,California,9193382,9080540.38793097,794074.6800508043,0.0874479542105463,8286465.707880166,108104.93948260504,0.0130459647446317,2012
6,8,Colorado,1236028,,,,,,,2012
7,9,Connecticut,794498,786855.5277782275,94777.89617623818,0.1204514587879352,692077.6316019893,2193.400691711204,0.0031692986329207,2012
8,10,Delaware,204169,,,,,,,2012
9,11,District of Columbia,107623,107508.3418594766,14961.64286373373,0.1391672739524714,92546.69899574286,,,2012
10,12,Florida,4007746,,,,,,,2012
11,13,Georgia,2483907,2496135.457125399,269020.81077931763,0.1077749246385561,2227114.646346081,,,2012
12,15,Hawaii,307375,300958.6076071113,33483.04603773842,0.1112546549306512,267475.56156937283,2522.361331928256,0.0094302496913313,2012
13,16,Idaho,427830,,,,,,,2012
14,17,Illinois,3059247,3093993.848987644,288360.9391527718,0.093200230261325,2805632.9098348725,,,2012
15,18,Indiana,1589767,,,,,13108.30160651863,,2012
16,19,Iowa,724758,,,,,,,2012
17,20,Kansas,726375,723008.5099139275,75313.02789733346,0.1041661707499117,647695.482016594,3152.760937142206,0.0048676593008277,2012
18,21,Kentucky,1018473,1019461.0911903906,103957.26893813448,0.1019727676087638,915503.8222522562,,,2012
19,22,Louisiana,1113884,,,,,,,2012
20,23,Maine,265098,,,,,,,2012
21,24,Maryland,1347203,1333506.7107453507,136501.5447889997,0.1023628480374901,1197005.165956351,7970.655271411929,0.0066588311379957,2012
22,25,Massachusetts,1403432,,,,,,,2012
23,26,Michigan,2272804,2213866.6725170985,208652.8521717806,0.0942481562968508,2005213.820345318,15198.7423314168,0.0075796117986058,2012
24,27,Minnesota,1277502,,,,,,,2012
25,28,Mississippi,741797,739969.2900856546,72887.91771108996,0.0985012738875323,667081.3723745646,5351.470301764983,0.008022215165019,2012
26,29,Missouri,1404800,1417614.3168255363,142535.31785101618,0.1005459074159151,1275078.9989745202,,,2012
27,30,Montana,222868,225759.02008817924,17271.964911752995,0.0765062007489523,208487.05517642625,4661.732712767047,0.0223598184972308,2012
28,31,Nebraska,462481,466186.03555808106,32237.75670272904,0.0691521286435286,433948.278855352,4753.29767707205,0.0109536041705478,2012
29,32,Nevada,655359,659028.319775428,42275.08893181034,0.0641476058968393,616753.2308436177,,,2012
30,33,New Hampshire,276321,275962.9977864237,28633.664860981688,0.1037590731027721,247329.332925442,,,2012
31,34,New Jersey,2028530,2011113.9607455295,175987.7431258009,0.0875075935828924,1835126.2176197288,16705.875858735355,0.0091033933787965,2012
32,35,New Mexico,513397,520713.61415248347,38113.77032029732,0.0731952637388433,482599.8438321861,6671.957833695452,0.0138250310665568,2012
33,36,New York,4265207,4199819.737788332,382559.40021468734,0.0910894810014267,3817260.337573644,,,2012
34,37,North Carolina,2280149,,,,,,,2012
35,38,North Dakota,157324,,,,,,,2012
36,39,Ohio,2668619,2656790.7280298537,226993.7902105684,0.0854390930439959,2429796.9378192853,30844.50044054507,0.0126942708505623,2012
37,40,Oklahoma,940806,939453.3504070122,80191.3430355004,0.0853595795903628,859262.0073715118,,,2012
38,41,Oregon,861047,859516.1694037145,62799.30822189069,0.0730635565186137,796716.8611818238,,,2012
39,42,Pennsylvania,2740090,2723797.7124729767,281729.4695924617,0.1034325964451579,2442068.242880515,30851.09488985665,0.0126331829504758,2012
40,44,Rhode Island,217504,,,,,,,2012
41,45,South Carolina,1076103,,,,,,,2012
42,46,South Dakota,205548,,,,,,,2012
43,47,Tennessee,1491770,1472220.9864807862,119920.79046395129,0.0814556996301291,1352300.196016835,,,2012
44,48,Texas,6990736,6933541.504015577,537572.3693926902,0.0775321484816026,6395969.134622887,32171.417016326,0.0050299518867554,2012
45,49,Utah,888604,888652.267239569,62924.463720846026,0.0708088709617644,825727.803518723,8933.269966558184,0.0108186619470608,2012
46,50,Vermont,124886,,,,,,,2012
47,51,Virginia,1861910,,,,,,,2012
