State,FCEV Sales,FCEV Market Share,BEV Sales,BEV Market Share,PHEV Sales,PHEV Market Share,year,State Name,state_code,EPA_Region,ev_sales,ev_market_share,total,nonev_sales,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,SAF,SAF_5,SAF_95,nonev_market_share,year_fixed
North Carolina,0,0.0,982,0.0023,1073,0.0026,2017,North Carolina,37,4.0,2055,0.004813131064720803,426957.0,424902.0,2300721.0,0.0771278319875456,2123271.377261782,16995.5397818513,1882.4022029291204,838.8363862114232,2720.457124634429,0.008004412419372,0.1107586006146886,0.0493562662309305,0.1600688862815331,0.9951868689352792,7
Ohio,0,0.0,983,0.0017,1108,0.0019,2017,Ohio,39,5.0,2091,0.0035856491722654925,583158.0,581067.0,2607996.0,0.0861716641996976,2383260.644453845,8292.807009293721,1473.0483354402295,685.368742643975,2050.962151067992,0.0034796055683595,0.177629641421703,0.0826461705760045,0.2473182058583403,0.9964143508277346,7
Oklahoma,0,0.0,530,0.0008,161,0.0002,2017,Oklahoma,40,6.0,691,0.0008583850931677019,805000.0,804309.0,958437.0,0.0999196300840526,862670.3295011309,6905.169099282587,1026.3855943854223,470.50666853320615,1446.1912260424342,0.008004412419372,0.1486401823949624,0.0681383267763984,0.2094360333902158,0.9991416149068323,7
Oregon,0,0.0,2291,0.0136,1697,0.01,2017,Oregon,41,10.0,3988,0.02350029463759576,169700.0,165712.0,872372.0,0.057521811713276,822191.582072066,6581.160510640759,561.1466252701571,248.9367460618284,814.1183060605978,0.008004412419372,0.0852656038950678,0.0378256609391815,0.1237043686663301,0.9764997053624043,7
Pennsylvania,0,0.0,1156,0.0019,2190,0.0036,2017,Pennsylvania,42,3.0,3346,0.005499472405665804,608422.0,605076.0,2664275.0,0.0886188468364819,2428170.021844732,30654.040148429976,4012.459576525326,1836.6254669822924,5665.792748210607,0.012624338441153,0.1308949670939487,0.059914629787433,0.1848302122909823,0.9945005275943342,7
Rhode Island,0,0.0,165,0.0035,268,0.0057,2017,Rhode Island,44,1.0,433,0.00918482065205863,47143.0,46710.0,206851.0,0.1028745489524067,185571.2966746457,1485.3891917815,300.96666423311063,133.60511848954073,436.4623341294741,0.008004412419372,0.2026180518199049,0.0899462034790367,0.2938370203205824,0.9908151793479414,7
South Carolina,0,0.0,223,0.0011,339,0.0016,2017,South Carolina,45,4.0,562,0.0026525073746312684,211875.0,211313.0,1103780.0,0.0771278319875456,1018647.841608787,8153.677434339856,737.9656288296287,328.4552595531817,1067.723354505228,0.008004412419372,0.0905070914041348,0.0402830823512672,0.1309499134719785,0.9973474926253687,7
South Dakota,0,0.0,33,0.0009,46,0.0013,2017,South Dakota,46,8.0,79,0.002154525867946655,36667.0,36588.0,215965.0,0.0771278319875456,199308.0877648097,1595.3441329859274,269.83591196735546,123.57889064224324,380.7459927000806,0.008004412419372,0.1691396272366118,0.0774622152594416,0.2386607283203887,0.9978454741320534,7
Tennessee,0,0.0,470,0.002,321,0.0014,2017,Tennessee,47,4.0,791,0.0033659574468085105,235000.0,234209.0,1506518.0,0.0897638701724814,1371287.1138354936,10976.34760450961,1117.0615781633564,506.3455715925332,1589.5354283651047,0.008004412419372,0.1017698799648449,0.0461306064491345,0.1448146036949529,0.9966340425531914,7
Texas,0,0.0,3056,0.0022,2363,0.0017,2017,Texas,48,6.0,5419,0.0038985611510791367,1390000.0,1384581.0,7361663.0,0.0775321484816026,6790897.45121248,33884.708069660075,6023.122549355336,2811.378830252563,8354.237333214794,0.0049897246001867,0.177753414223697,0.0829689553315005,0.246548895036669,0.9961014388489209,7
Utah,0,0.0,627,0.0051,536,0.0043,2017,Utah,49,8.0,1163,0.009329974649423997,124652.0,123489.0,927108.0,0.0608659439276731,870678.6964571029,7006.240186873743,2015.2105967760444,927.6702868297632,2828.533181772588,0.0080468721876198,0.2876308181029192,0.1324062924031297,0.4037162738257062,0.990670025350576,7
Vermont,0,0.0,350,0.0086,521,0.0128,2017,Vermont,50,1.0,871,0.021398388364779874,40704.0,39833.0,116906.0,0.0729487597007441,108377.8522984248,867.5010269223758,67.81310944477576,29.69084394304257,99.57230275351478,0.008004412419372,0.0781706388122163,0.0342257161912262,0.1147806165795173,0.9786016116352201,7
Virginia,0,0.0,1375,0.0038,1557,0.0043,2017,Virginia,51,3.0,2932,0.00809734488834391,362094.0,359162.0,1870586.0,0.0771278319875456,1726311.757273745,13818.111269629866,928.432554624934,408.7206423804763,1356.4314561385838,0.008004412419372,0.067189541067417,0.0295786185539541,0.0981633039183738,0.9919026551116561,7
Washington,0,0.0,4615,0.0164,2453,0.0087,2017,Washington,53,10.0,7068,0.02506782997286801,281955.0,274887.0,1650916.0,0.0675245320527886,1539438.6696415383,7650.820513042066,365.7219405277939,164.72761025215144,523.4665520607515,0.0049698767894557,0.0478016625673496,0.0215307116369213,0.0684196618086148,0.974932170027132,7
West Virginia,0,0.0,38,0.0005,75,0.001,2017,West Virginia,54,3.0,113,0.001486842105263158,76000.0,75887.0,369291.0,0.0776011043752253,340633.61056416866,2726.571902855357,18.226824317204777,8.084752294283527,26.455697479452667,0.008004412419372,0.0066848867246512,0.0029651711314918,0.0097029157572361,0.9985131578947368,7
Wisconsin,0,0.0,912,0.0039,664,0.0028,2017,Wisconsin,55,5.0,1576,0.006645779129048717,237143.0,235567.0,1283205.0,0.0738825119747914,1188398.5912213875,9512.432442736665,912.4653271555968,405.231883615774,1322.4901028846025,0.008004412419372,0.095923448881082,0.0426002377473065,0.1390275422028785,0.9933542208709513,7
Alabama,0,0.0,527,0.0025,339,0.0016,2018,Alabama,1,4.0,866,0.004087315634218289,211875.0,211009.0,1091854.0,0.073469577852146,1011635.9475438228,8210.331261889234,715.2279581822016,327.84670379958834,1008.373455239309,0.0081158951318637,0.0871131669805031,0.0399309958809322,0.1228176334272872,0.9959126843657817,8
Alaska,0,0.0,98,0.0037,57,0.0022,2018,Alaska,2,10.0,155,0.005851927360591988,26487.0,26332.0,182696.0,0.073469577852146,169273.40200472434,1373.8051792841493,223.89635012645547,97.92983276675656,329.1201683471226,0.0081158951318637,0.1629753283090121,0.0712836392258944,0.2395682978270745,0.994148072639408,8
Arizona,0,0.0,5569,0.0144,1517,0.0039,2018,Arizona,4,9.0,7086,0.018217109068706216,388975.0,381889.0,1637600.0,0.0848572548134904,1498637.7595174282,12162.78689689462,6604.005233808058,3393.91114037162,8475.089007023673,0.0081158951318637,0.5429680952063857,0.2790405824867447,0.696804858859076,0.9817828909312938,8
Arkansas,0,0.0,260,0.0021,175,0.0014,2018,Arkansas,5,6.0,435,0.00348,125000.0,124565.0,702704.0,0.073469577852146,651076.6337649856,5284.069682443452,373.5960981842544,170.27426068791658,529.035683529983,0.0081158951318637,0.0707023413081669,0.0322240755555628,0.1001189831556776,0.99652,8
Colorado,0,0.0,4929,0.0182,2122,0.0078,2018,Colorado,8,8.0,7051,0.02591783923661653,272052.0,265001.0,1263756.0,0.073469577852146,1170908.3801718834,9502.9696224954,2467.1341532412944,1170.0569248101197,3378.685168691749,0.0081158951318637,0.2596171777084399,0.1231253988269482,0.3555399315066457,0.9740821607633835,8
Connecticut,0,0.0,1844,0.0109,1571,0.0093,2018,Connecticut,9,1.0,3415,0.020186197724250038,169175.0,165760.0,735668.0,0.0963903550758519,664756.7002620582,5355.885968807193,1306.9799273122217,581.7826388906225,1890.3830103552905,0.008056911598929,0.2440268398028083,0.1086249114112844,0.3529543051074884,0.97981380227575,8
District Of Columbia,0,0.0,406,0.0178,355,0.0156,2018,District Of Columbia,11,3.0,761,0.0333640229733877,22809.0,22048.0,126648.0,0.1086857932933958,112883.161650978,916.1479021125556,280.7498949003109,126.44396497163656,401.7639329412085,0.0081158951318637,0.3064460380828538,0.1380169781320985,0.4385361053764098,0.9666359770266123,8
Georgia,0,0.0,4479,0.0088,1525,0.003,2018,Georgia,13,4.0,6004,0.011796187654476225,508978.0,502974.0,2506877.0,0.0755621630183087,2317451.951459151,12433.88814578078,681.3809749880764,307.1392055944397,974.5030539041906,0.0053653272672824,0.0548003140288254,0.0247017829011645,0.0783747643921721,0.9882038123455238,8
Hawaii,4,0.0,1552,0.0175,744,0.0084,2018,Hawaii,15,9.0,2300,0.025934194799630154,88686.0,86386.0,302742.0,0.1017918623313379,271925.3280140861,3183.170447322017,615.4205890369512,274.6019654276828,888.1130634480063,0.0117060461802849,0.1933357321643586,0.0862668116495941,0.2790026730095998,0.9740658052003699,8
Idaho,0,0.0,291,0.0045,206,0.0032,2018,Idaho,16,10.0,497,0.00768552739418869,64667.0,64170.0,444839.0,0.073469577852146,412156.86645782925,3345.021906049293,538.2322456711239,246.1603076966973,759.8139015623261,0.0081158951318637,0.160905447195356,0.0735900435364951,0.2271476608832496,0.9923144726058113,8
Illinois,0,0.0,5428,0.0088,1929,0.0031,2018,Illinois,17,5.0,7357,0.011823051173225296,622259.0,614902.0,2855050.0,0.0600480614918949,2683609.782037565,21779.895565860483,3650.45523827728,1711.9180171519438,5041.507706283933,0.0081158951318637,0.1676066456443111,0.0786008368118779,0.2314752929387957,0.9881769488267746,8
Indiana,0,0.0,1367,0.0055,669,0.0027,2018,Indiana,18,5.0,2036,0.008191642593322765,248546.0,246510.0,1570622.0,0.0868663231437054,1434187.841811387,5073.1559419355,619.3304283105457,290.5107940247355,855.5941823169803,0.0035373022933509,0.1220799114789797,0.0572643138412773,0.1686512679897152,0.9918083574066773,8
Iowa,0,0.0,483,0.0037,434,0.0033,2018,Iowa,19,7.0,917,0.006972535661060251,131516.0,130599.0,729325.0,0.073469577852146,675741.8001329836,5484.249586096095,726.786364469185,339.0259194008232,1009.7398357781594,0.0081158951318637,0.1325224815281501,0.0618181054816207,0.1841163170870441,0.9930274643389397,8
Kansas,0,0.0,632,0.0064,311,0.0032,2018,Kansas,20,7.0,943,0.009549367088607595,98750.0,97807.0,705496.0,0.0761952094177081,651740.5845366446,3467.8701506005864,495.7214307955184,236.62295162025032,675.5002504003593,0.0053209363247895,0.142946941283158,0.0682329329947001,0.1947882190119985,0.9904506329113925,8
Kentucky,0,0.0,470,0.0031,317,0.0021,2018,Kentucky,21,4.0,787,0.005190847750522713,151613.0,150826.0,1007203.0,0.058797808306011,947981.6710807608,7693.719829420362,679.5938142826216,307.70627096743755,968.0150387860828,0.0081158951318637,0.088330980247538,0.0399944731273922,0.1258188574900332,0.9948091522494773,8
Louisiana,0,0.0,392,0.0018,221,0.001,2018,Louisiana,22,6.0,613,0.0027737556561085973,221000.0,220387.0,1096754.0,0.0814798112397339,1007390.6911035768,8175.877205812328,751.6032530402164,348.7589877171223,1048.8977826364774,0.0081158951318637,0.0919293715059581,0.0426570726220283,0.1282917730088709,0.9972262443438914,8
Maine,0,0.0,254,0.0036,545,0.0077,2018,Maine,23,1.0,799,0.011288499576151455,70780.0,69981.0,250303.0,0.073339935000848,231945.79424948277,1786.212366478013,258.8495753158906,114.448881324941,376.8395977905026,0.0077009905364214,0.1449153416322385,0.0640735018258814,0.2109713295365549,0.9887115004238486,8
Maryland,0,0.0,3815,0.0116,2484,0.0075,2018,Maryland,24,3.0,6299,0.019018719806763285,331200.0,324901.0,1339438.0,0.1048547826254264,1198991.519669764,17683.73473164862,1366.7101196075496,598.7344313892106,2005.9119290559247,0.0147488405393552,0.0772862825838223,0.0338579174860418,0.1134325955176165,0.9809812801932367,8
Massachusetts,0,0.0,4959,0.0139,4031,0.0113,2018,Massachusetts,25,1.0,8990,0.025198801445217134,356763.0,347773.0,1364785.0,0.073469577852146,1264514.822191059,10262.669689589908,628.8335259216233,272.0446595635028,933.6226273170312,0.0081158951318637,0.0612738736548726,0.0265081765068844,0.090972686012107,0.9748011985547829,8
Michigan,0,0.0,1623,0.0027,1948,0.0032,2018,Michigan,26,5.0,3571,0.00586611909650924,608750.0,605179.0,2162182.0,0.0855284899175045,1977253.8386131905,18949.851829792868,2199.891382957552,1030.2537530109787,3046.2253263133107,0.0095839246634534,0.1160901627472829,0.0543673777644645,0.1607519337710097,0.9941338809034908,8
Minnesota,0,0.0,1866,0.0075,987,0.0039,2018,Minnesota,27,5.0,2853,0.01127324885311585,253077.0,250224.0,1302437.0,0.0527314975420946,1233757.546535767,6415.220320230418,1276.7181988382622,613.0363233957098,1729.7997620999893,0.0051997415037043,0.1990139286116374,0.0955596679138981,0.2696399618022564,0.9887267511468841,8
Mississippi,0,0.0,113,0.0011,118,0.0011,2018,Mississippi,28,4.0,231,0.002153384355802485,107273.0,107042.0,706663.0,0.0649442406928863,660769.3080392429,6432.208079990653,184.74233159472385,84.85922742430982,259.784713916982,0.009734423196921,0.0287214482643093,0.0131928610469381,0.0403881078917707,0.9978466156441975,8
Missouri,0,0.0,1523,0.0049,745,0.0024,2018,Missouri,29,7.0,2268,0.007296898174810258,310817.0,308549.0,1376684.0,0.0838037037625594,1261312.7818893446,10236.682266293194,1071.7044560217548,500.3415164521208,1487.4326155175563,0.0081158951318637,0.1046925584034787,0.0488773123397234,0.1453041695369696,0.9927031018251897,8
Montana,0,0.0,181,0.0031,93,0.0016,2018,Montana,30,8.0,274,0.004692745084606426,58388.0,58114.0,228749.0,0.0532436177130512,216569.5756917573,4820.596709444752,440.9241314791354,201.47332929212783,623.664017328174,0.0222588823663111,0.091466712122019,0.041794271837217,0.1293748585328162,0.9953072549153936,8
Nebraska,0,0.0,375,0.0044,253,0.0029,2018,Nebraska,31,7.0,628,0.0071983677586483575,87242.0,86614.0,476237.0,0.05027537777688,452294.004913672,4863.113883960088,608.7855468986056,284.14069164857733,844.2119270109807,0.0107521077686808,0.1251843081254072,0.0584277272604602,0.1735949326203172,0.9928016322413517,8
Nevada,0,0.0,1688,0.0117,637,0.0044,2018,Nevada,32,9.0,2325,0.0160596243774737,144773.0,142448.0,688242.0,0.0695674971594853,640362.7266199614,5197.116735601911,2395.618751145851,1177.110616417133,3182.756327341197,0.0081158951318637,0.4609514992678722,0.2264930107021743,0.6124080888039898,0.9839403756225263,8
New Hampshire,0,0.0,579,0.006,544,0.0056,2018,New Hampshire,33,1.0,1123,0.011560277117239533,97143.0,96020.0,257787.0,0.0848521181779975,235913.22701124853,1914.647010642848,78.66622820368912,33.78949078911706,117.56623248187834,0.0081158951318637,0.0410865437683349,0.0176478957224455,0.0614036069460162,0.9884397228827605,8
New Mexico,0,0.0,396,0.0045,309,0.0035,2018,New Mexico,35,6.0,705,0.007985411050449675,88286.0,87581.0,481824.0,0.0750804160179391,445648.4536325725,5239.607597739519,1399.2645269567645,692.3303973619005,1852.226112414399,0.0117572664171285,0.2670552137454792,0.1321340166123484,0.3535047382581646,0.9920145889495503,8
North Carolina,0,0.0,3293,0.0071,1419,0.0031,2018,North Carolina,37,4.0,4712,0.010159485816176265,463803.0,459091.0,2301812.0,0.073469577852146,2132698.844064996,17308.760166278444,1892.9482456072544,845.6520224016507,2729.0511128197622,0.0081158951318637,0.1093635955101605,0.048856880231617,0.1576687808140411,0.9898405141838237,8
North Dakota,0,0.0,50,0.0013,45,0.0011,2018,North Dakota,38,8.0,95,0.0023221706184307018,40910.0,40815.0,178055.0,0.073469577852146,164973.37431553614,1338.906605494588,172.7450307716459,76.33567463982493,251.643220092663,0.0081158951318637,0.129019477581735,0.0570134424063333,0.1879468060430598,0.9976778293815693,8
Ohio,0,0.0,3006,0.005,1450,0.0024,2018,Ohio,39,5.0,4456,0.007375444206651472,604167.0,599711.0,2593542.0,0.0774572896136572,2392653.2661808166,13865.119203704764,2350.895830443194,1084.3483398405654,3297.491994307184,0.005794871910478,0.1695546786078142,0.0782069251558131,0.2378264438884948,0.9926245557933485,8
